fold,model,params,inner_cv_metrics,outer_test_metrics
1,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 10.82586410829281}","{'roc_auc': 0.9796561300075378, 'F1': 0.8022008570289249, 'F1_macro': 0.8935906217482327, 'precision': 1.0, 'recall': 0.9386693894525815, 'average_precision': 0.8878018582011705, 'balanced_accuracy': 0.9138072436113752, 'accuracy': 0.9720809057679591, 'matthews_corrcoef': 0.8061969245899185}","{'roc_auc': 0.9790657154642806, 'F1': 0.6272401433691757, 'F1_macro': 0.7872341779892942, 'precision': 0.47586675730795375, 'recall': 0.9198423127463863, 'average_precision': 0.8851700124710747, 'balanced_accuracy': 0.9131258176987576, 'accuracy': 0.907545282809201, 'matthews_corrcoef': 0.6216836026830644}"
2,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 10.82586410829281}","{'roc_auc': 0.979305517082464, 'F1': 0.8019182189684271, 'F1_macro': 0.8934394145793088, 'precision': 1.0, 'recall': 0.9375008664217581, 'average_precision': 0.8861808270194373, 'balanced_accuracy': 0.9124511658585297, 'accuracy': 0.9720438687326164, 'matthews_corrcoef': 0.8059325766717021}","{'roc_auc': 0.9821959803595977, 'F1': 0.6385435168738899, 'F1_macro': 0.7934239240663111, 'precision': 0.48222669349429914, 'recall': 0.9448094612352168, 'average_precision': 0.9002693523461076, 'balanced_accuracy': 0.9255486975998857, 'accuracy': 0.9095455050561173, 'matthews_corrcoef': 0.6369150773745919}"
3,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 10.82586410829281}","{'roc_auc': 0.9793004448242291, 'F1': 0.8017670230771519, 'F1_macro': 0.8933606635752387, 'precision': 1.0, 'recall': 0.9417349762467143, 'average_precision': 0.8866330049742306, 'balanced_accuracy': 0.9132551988608482, 'accuracy': 0.9720315413519692, 'matthews_corrcoef': 0.8058187929714633}","{'roc_auc': 0.9809325649955862, 'F1': 0.6221238938053097, 'F1_macro': 0.7839301639569185, 'precision': 0.46897931954636424, 'recall': 0.923784494086728, 'average_precision': 0.893689272750433, 'balanced_accuracy': 0.9135795497867483, 'accuracy': 0.9051005667296367, 'matthews_corrcoef': 0.6176761405768074}"
4,XGBClassifier,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 10.82586410829281}","{'roc_auc': 0.9796894052777265, 'F1': 0.8031780029563145, 'F1_macro': 0.8941086542982006, 'precision': 1.0, 'recall': 0.9410043027837466, 'average_precision': 0.8877234060770233, 'balanced_accuracy': 0.9132686353485517, 'accuracy': 0.9721923813051798, 'matthews_corrcoef': 0.807050449500799}","{'roc_auc': 0.9785908811511534, 'F1': 0.6141732283464567, 'F1_macro': 0.7790153220026363, 'precision': 0.460327868852459, 'recall': 0.9224704336399474, 'average_precision': 0.8847511022817922, 'balanced_accuracy': 0.9112777080182255, 'accuracy': 0.9019782173816404, 'matthews_corrcoef': 0.6100418292795539}"
5,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 10.82586410829281}","{'roc_auc': 0.9796127583193768, 'F1': 0.8048757220222041, 'F1_macro': 0.8950098087760987, 'precision': 1.0, 'recall': 0.942319131125602, 'average_precision': 0.888283578452152, 'balanced_accuracy': 0.9135022133365223, 'accuracy': 0.9723899487559425, 'matthews_corrcoef': 0.8085513118109484}","{'roc_auc': 0.9787702742520886, 'F1': 0.6336088154269972, 'F1_macro': 0.7915799798465116, 'precision': 0.48694424841213835, 'recall': 0.9067017082785808, 'average_precision': 0.879048732405845, 'balanced_accuracy': 0.9092207096692163, 'accuracy': 0.9113136252500555, 'matthews_corrcoef': 0.6251961397002915}"
6,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 10.82586410829281}","{'roc_auc': 0.979540339214833, 'F1': 0.8033774274485352, 'F1_macro': 0.8942149351166957, 'precision': 1.0, 'recall': 0.9382313266116776, 'average_precision': 0.8877821381936097, 'balanced_accuracy': 0.9133424637963078, 'accuracy': 0.9722170772365253, 'matthews_corrcoef': 0.8072330451567404}","{'roc_auc': 0.9792025246807098, 'F1': 0.6189845474613687, 'F1_macro': 0.7820623582771213, 'precision': 0.4660904255319149, 'recall': 0.9211563731931669, 'average_precision': 0.8823157116333218, 'balanced_accuracy': 0.9118347120306007, 'accuracy': 0.9040897977328295, 'matthews_corrcoef': 0.6142554853324023}"
7,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 10.82586410829281}","{'roc_auc': 0.9795927989191806, 'F1': 0.8023070220445359, 'F1_macro': 0.8936470728690299, 'precision': 1.0, 'recall': 0.9424645833444414, 'average_precision': 0.8876188885372149, 'balanced_accuracy': 0.9136406472715317, 'accuracy': 0.9720935975797987, 'matthews_corrcoef': 0.8062919984460002}","{'roc_auc': 0.9793494531342104, 'F1': 0.6198934280639432, 'F1_macro': 0.7827617546823782, 'precision': 0.4681421864520456, 'recall': 0.9172141918528253, 'average_precision': 0.8883334236456579, 'balanced_accuracy': 0.9104706384783126, 'accuracy': 0.9048677483885308, 'matthews_corrcoef': 0.614351501825205}"
8,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 10.82586410829281}","{'roc_auc': 0.9800214037608166, 'F1': 0.8020646130739166, 'F1_macro': 0.8935194005531407, 'precision': 1.0, 'recall': 0.9445088055109755, 'average_precision': 0.8889774373515167, 'balanced_accuracy': 0.9141909577385476, 'accuracy': 0.9720689016484535, 'matthews_corrcoef': 0.8060891655234548}","{'roc_auc': 0.9755631340078429, 'F1': 0.607851786501985, 'F1_macro': 0.7756659911593147, 'precision': 0.45750332005312083, 'recall': 0.9053876478318003, 'average_precision': 0.8746602109816243, 'balanced_accuracy': 0.9031005253848816, 'accuracy': 0.9012002667259391, 'matthews_corrcoef': 0.600909196930837}"
9,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 10.82586410829281}","{'roc_auc': 0.9795391284140595, 'F1': 0.8019426200942812, 'F1_macro': 0.8934516535060993, 'precision': 1.0, 'recall': 0.9391071323839129, 'average_precision': 0.8872402065069398, 'balanced_accuracy': 0.9129879562789387, 'accuracy': 0.9720442057171083, 'matthews_corrcoef': 0.8059428240251185}","{'roc_auc': 0.9795122549656952, 'F1': 0.6183574879227053, 'F1_macro': 0.781537036473599, 'precision': 0.46437994722955145, 'recall': 0.9250985545335085, 'average_precision': 0.8873176847368563, 'balanced_accuracy': 0.9132594872946771, 'accuracy': 0.9034229828850856, 'matthews_corrcoef': 0.6144283372552994}"
10,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 10.82586410829281}","{'roc_auc': 0.9790114092013475, 'F1': 0.8025394468764435, 'F1_macro': 0.8937697545075911, 'precision': 1.0, 'recall': 0.93575767916269, 'average_precision': 0.8852899753035487, 'balanced_accuracy': 0.9113215679134464, 'accuracy': 0.972118293511144, 'matthews_corrcoef': 0.8065007538656355}","{'roc_auc': 0.983102854550798, 'F1': 0.6301853486319505, 'F1_macro': 0.7884556749517031, 'precision': 0.47410358565737054, 'recall': 0.9394736842105263, 'average_precision': 0.9013017927307294, 'balanced_accuracy': 0.9216669222217964, 'accuracy': 0.9068681929317626, 'matthews_corrcoef': 0.6282114523063634}"
