fold,model,params,inner_cv_metrics,outer_test_metrics
1,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}","{'roc_auc': 0.9795312401427261, 'F1': 0.8064023908366214, 'F1_macro': 0.8957291521100974, 'precision': 1.0, 'recall': 0.6964078420499805, 'average_precision': 0.8875305377791565, 'balanced_accuracy': 0.8459782730158109, 'accuracy': 0.9722537818618265, 'matthews_corrcoef': 0.8072203420224865}","{'roc_auc': 0.9788327480835423, 'F1': 0.8089713843774169, 'F1_macro': 0.897092696079759, 'precision': 0.9830827067669173, 'recall': 0.6872536136662286, 'average_precision': 0.8843579497298192, 'balanced_accuracy': 0.8430805577435294, 'accuracy': 0.9725525058339816, 'matthews_corrcoef': 0.8094848577927266}"
2,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}","{'roc_auc': 0.9791452354083112, 'F1': 0.8061733088753013, 'F1_macro': 0.8955830747014761, 'precision': 1.0, 'recall': 0.6939281163191205, 'average_precision': 0.8858458456403933, 'balanced_accuracy': 0.8449744673589864, 'accuracy': 0.9722414399954206, 'matthews_corrcoef': 0.8071993041056176}","{'roc_auc': 0.9821699001358724, 'F1': 0.8162951575710992, 'F1_macro': 0.9009906044787879, 'precision': 0.9833333333333333, 'recall': 0.6977660972404731, 'average_precision': 0.8999406324879893, 'balanced_accuracy': 0.8483367995306517, 'accuracy': 0.9734414934992777, 'matthews_corrcoef': 0.8161616473145289}"
3,XGBClassifier,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}","{'roc_auc': 0.9792961293929043, 'F1': 0.8065827371654846, 'F1_macro': 0.8958259588464683, 'precision': 1.0, 'recall': 0.6965577730028312, 'average_precision': 0.8868405235905605, 'balanced_accuracy': 0.8461071950234291, 'accuracy': 0.9722785052398726, 'matthews_corrcoef': 0.8073656888075332}","{'roc_auc': 0.9805466255380741, 'F1': 0.8144726712856043, 'F1_macro': 0.9000203346846609, 'precision': 0.983271375464684, 'recall': 0.695137976346912, 'average_precision': 0.892341363442715, 'balanced_accuracy': 0.8470227390838712, 'accuracy': 0.9732192465829537, 'matthews_corrcoef': 0.8144963939757636}"
4,XGBClassifier,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}","{'roc_auc': 0.9795193051555036, 'F1': 0.8077234561210276, 'F1_macro': 0.896407350824339, 'precision': 1.0, 'recall': 0.698157107590921, 'average_precision': 0.8874669892892978, 'balanced_accuracy': 0.847008060946991, 'accuracy': 0.9724269926529605, 'matthews_corrcoef': 0.8085466027423014}","{'roc_auc': 0.978852752005031, 'F1': 0.8034321372854915, 'F1_macro': 0.8941774782394909, 'precision': 0.9884836852207294, 'recall': 0.6767411300919842, 'average_precision': 0.8862653187109871, 'balanced_accuracy': 0.8380063547752625, 'accuracy': 0.9719937763947544, 'matthews_corrcoef': 0.8053631777763343}"
5,XGBClassifier,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}","{'roc_auc': 0.9795802026857775, 'F1': 0.8085825975998396, 'F1_macro': 0.8968558637381572, 'precision': 1.0, 'recall': 0.699472895661493, 'average_precision': 0.8885290138924573, 'balanced_accuracy': 0.8475985122747833, 'accuracy': 0.9725628202753596, 'matthews_corrcoef': 0.809581286290834}","{'roc_auc': 0.97853687975972, 'F1': 0.7917656373713381, 'F1_macro': 0.8880240964003645, 'precision': 0.9960159362549801, 'recall': 0.657030223390276, 'average_precision': 0.8778781835412759, 'balanced_accuracy': 0.8283937082715614, 'accuracy': 0.9707712825072238, 'matthews_corrcoef': 0.7962374027466188}"
6,XGBClassifier,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}","{'roc_auc': 0.9794711076621281, 'F1': 0.807685317189932, 'F1_macro': 0.8963668798859146, 'precision': 1.0, 'recall': 0.6972847141874563, 'average_precision': 0.8877368018558492, 'balanced_accuracy': 0.846356039030179, 'accuracy': 0.9724516885843058, 'matthews_corrcoef': 0.8088339380324348}","{'roc_auc': 0.9788199682947223, 'F1': 0.796583850931677, 'F1_macro': 0.8904513700432864, 'precision': 0.9734345351043643, 'recall': 0.6741130091984231, 'average_precision': 0.8808600395439795, 'balanced_accuracy': 0.8362066806341757, 'accuracy': 0.9708824183151812, 'matthews_corrcoef': 0.796783895235962}"
7,XGBClassifier,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}","{'roc_auc': 0.9794781248890427, 'F1': 0.8070456056948079, 'F1_macro': 0.8960346260915923, 'precision': 1.0, 'recall': 0.698017946927002, 'average_precision': 0.8873757873139306, 'balanced_accuracy': 0.8467091751366457, 'accuracy': 0.9723158609619066, 'matthews_corrcoef': 0.8076843245270766}","{'roc_auc': 0.9790477791867949, 'F1': 0.8089368258859785, 'F1_macro': 0.8970423738963968, 'precision': 0.9776536312849162, 'recall': 0.6898817345597897, 'average_precision': 0.8878717884393224, 'balanced_accuracy': 0.8442124467384355, 'accuracy': 0.9724383196265837, 'matthews_corrcoef': 0.8086031652844975}"
8,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}","{'roc_auc': 0.9799580552431169, 'F1': 0.8083020883524672, 'F1_macro': 0.8967020665111463, 'precision': 1.0, 'recall': 0.7015177576471718, 'average_precision': 0.8890840053520555, 'balanced_accuracy': 0.8483241991753548, 'accuracy': 0.9723529048589246, 'matthews_corrcoef': 0.8078889261047001}","{'roc_auc': 0.9750848587596399, 'F1': 0.8074245939675174, 'F1_macro': 0.8962585461605532, 'precision': 0.981203007518797, 'recall': 0.6859395532194481, 'average_precision': 0.873592638790046, 'balanced_accuracy': 0.8423627594918413, 'accuracy': 0.9723271838186264, 'matthews_corrcoef': 0.8077899153317933}"
9,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}","{'roc_auc': 0.9794203143342927, 'F1': 0.8059910954464948, 'F1_macro': 0.8954603763247728, 'precision': 1.0, 'recall': 0.695970099118649, 'average_precision': 0.8872748227784637, 'balanced_accuracy': 0.8459415354312974, 'accuracy': 0.9722047292708526, 'matthews_corrcoef': 0.8069786190169737}","{'roc_auc': 0.9795317975667308, 'F1': 0.8108527131782945, 'F1_macro': 0.8981235911156646, 'precision': 0.9886578449905482, 'recall': 0.6872536136662286, 'average_precision': 0.8872223009774385, 'balanced_accuracy': 0.8432625965623847, 'accuracy': 0.972882862858413, 'matthews_corrcoef': 0.8120624665650763}"
10,XGBClassifier,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}","{'roc_auc': 0.9789798838750544, 'F1': 0.8074692979522219, 'F1_macro': 0.8962845895127713, 'precision': 1.0, 'recall': 0.6949928820120179, 'average_precision': 0.885452409740998, 'balanced_accuracy': 0.8452842887248911, 'accuracy': 0.9724269926529605, 'matthews_corrcoef': 0.8085841113439406}","{'roc_auc': 0.9828857924125682, 'F1': 0.8043647700701481, 'F1_macro': 0.8946732604015553, 'precision': 0.9866156787762906, 'recall': 0.6789473684210526, 'average_precision': 0.9007101632050838, 'balanced_accuracy': 0.8390488238075159, 'accuracy': 0.9721049122027117, 'matthews_corrcoef': 0.8059149828292964}"
