fold,model,params,inner_cv_metrics,outer_test_metrics
1,LogisticRegression,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.96157698584598, 'F1': 0.5679301882214683, 'F1_macro': 0.7513799961888022, 'precision': 0.4192033596182008, 'recall': 0.9034769905040175, 'average_precision': 0.8140568608669134, 'balanced_accuracy': 0.8838009161646239, 'accuracy': 0.8867430773664701, 'matthews_corrcoef': 0.5588632833881645}","{'roc_auc': 0.9619550947996194, 'F1': 0.571795970852979, 'F1_macro': 0.7540116145359692, 'precision': 0.4243002544529262, 'recall': 0.8764783180026281, 'average_precision': 0.8190435317239901, 'balanced_accuracy': 0.8833107783263929, 'accuracy': 0.888987665296144, 'matthews_corrcoef': 0.5617605876287994}"
2,LogisticRegression,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.9613906408370015, 'F1': 0.5671158653888154, 'F1_macro': 0.7509203985440089, 'precision': 0.41869820499848887, 'recall': 0.9030377546613491, 'average_precision': 0.8149174068735923, 'balanced_accuracy': 0.8833445622164419, 'accuracy': 0.8865578426332131, 'matthews_corrcoef': 0.5577931280843373}","{'roc_auc': 0.9633867156432533, 'F1': 0.5680770842061165, 'F1_macro': 0.7510169547607995, 'precision': 0.41697416974169743, 'recall': 0.8909329829172142, 'average_precision': 0.8104585570875827, 'balanced_accuracy': 0.8879282540223361, 'accuracy': 0.8854317146349594, 'matthews_corrcoef': 0.5610508724561732}"
3,LogisticRegression,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.961439615164009, 'F1': 0.5676681541617796, 'F1_macro': 0.7512479277084286, 'precision': 0.4191136116026445, 'recall': 0.9042061710556484, 'average_precision': 0.8135140172954592, 'balanced_accuracy': 0.8833951888574999, 'accuracy': 0.8867307278759808, 'matthews_corrcoef': 0.5584463895298462}","{'roc_auc': 0.9630979987934508, 'F1': 0.56622936944562, 'F1_macro': 0.7503356632965228, 'precision': 0.41760299625468167, 'recall': 0.8791064388961892, 'average_precision': 0.8226007326542712, 'balanced_accuracy': 0.8829253971611317, 'accuracy': 0.8860984553839315, 'matthews_corrcoef': 0.5570424907953571}"
4,LogisticRegression,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'}","{'roc_auc': 0.9618078309491527, 'F1': 0.5686489622580124, 'F1_macro': 0.7518499943436385, 'precision': 0.4200650707835698, 'recall': 0.9050809104626426, 'average_precision': 0.8150625740846269, 'balanced_accuracy': 0.8838628252794616, 'accuracy': 0.8871025498549112, 'matthews_corrcoef': 0.5594800985849082}","{'roc_auc': 0.9600474255055991, 'F1': 0.5651063829787234, 'F1_macro': 0.7498930866702386, 'precision': 0.41787287602265577, 'recall': 0.8725361366622865, 'average_precision': 0.8106543332046576, 'balanced_accuracy': 0.8801189849269913, 'accuracy': 0.886419204267615, 'matthews_corrcoef': 0.5547338556841213}"
5,LogisticRegression,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'}","{'roc_auc': 0.9620513830995885, 'F1': 0.5702325284267354, 'F1_macro': 0.7527875271791415, 'precision': 0.42134905799237277, 'recall': 0.9059593821479794, 'average_precision': 0.8156817390273522, 'balanced_accuracy': 0.8849955030360078, 'accuracy': 0.8875964684818177, 'matthews_corrcoef': 0.5613254798158148}","{'roc_auc': 0.9580003181056854, 'F1': 0.5634167385677308, 'F1_macro': 0.7494338444720272, 'precision': 0.4193962748876044, 'recall': 0.8580814717477004, 'average_precision': 0.8049557663379946, 'balanced_accuracy': 0.8741663884172519, 'accuracy': 0.8875305623471883, 'matthews_corrcoef': 0.550442134745718}"
6,LogisticRegression,"{'C': 100, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'}","{'roc_auc': 0.9615990968248713, 'F1': 0.5681113578287713, 'F1_macro': 0.7515506638708345, 'precision': 0.4197046759765155, 'recall': 0.903476350684873, 'average_precision': 0.8152338573747782, 'balanced_accuracy': 0.8835410694257151, 'accuracy': 0.8869914181638576, 'matthews_corrcoef': 0.5587816145434699}","{'roc_auc': 0.9616863717238825, 'F1': 0.5622625580413677, 'F1_macro': 0.7479515260290668, 'precision': 0.4141791044776119, 'recall': 0.8751642575558476, 'average_precision': 0.8078284933237839, 'balanced_accuracy': 0.8804011162733711, 'accuracy': 0.8847521671482552, 'matthews_corrcoef': 0.5525650324518607}"
7,LogisticRegression,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.9615534204785575, 'F1': 0.5685978275990999, 'F1_macro': 0.751787682315148, 'precision': 0.4199068391818841, 'recall': 0.9042060644191242, 'average_precision': 0.8139909909094065, 'balanced_accuracy': 0.8840683371386266, 'accuracy': 0.8869914181638576, 'matthews_corrcoef': 0.5595513309976945}","{'roc_auc': 0.9627218105158976, 'F1': 0.5627887442251155, 'F1_macro': 0.7480610387792244, 'precision': 0.41358024691358025, 'recall': 0.8804204993429697, 'average_precision': 0.820299570653452, 'balanced_accuracy': 0.882543623472626, 'accuracy': 0.8843076239164259, 'matthews_corrcoef': 0.5540653504147667}"
8,LogisticRegression,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.9619512450365667, 'F1': 0.5688146245479226, 'F1_macro': 0.751959713279597, 'precision': 0.4202376102540441, 'recall': 0.9050816569183111, 'average_precision': 0.8147746565139562, 'balanced_accuracy': 0.8841190067466315, 'accuracy': 0.88718898561462, 'matthews_corrcoef': 0.5596367687627912}","{'roc_auc': 0.9589713859628608, 'F1': 0.5678906917164817, 'F1_macro': 0.7516213392145714, 'precision': 0.4206198608475648, 'recall': 0.873850197109067, 'average_precision': 0.8118545207745848, 'balanced_accuracy': 0.8813223305564759, 'accuracy': 0.8875305623471883, 'matthews_corrcoef': 0.5575951932085256}"
9,LogisticRegression,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.9617126424885261, 'F1': 0.5677125085805083, 'F1_macro': 0.7513226768345946, 'precision': 0.4194548371853122, 'recall': 0.9037665086668836, 'average_precision': 0.815094423120609, 'balanced_accuracy': 0.8836404658184582, 'accuracy': 0.8868926344384764, 'matthews_corrcoef': 0.5583039905672581}","{'roc_auc': 0.9610304582205512, 'F1': 0.5642737896494157, 'F1_macro': 0.7486753563631694, 'precision': 0.41345565749235474, 'recall': 0.8883048620236531, 'average_precision': 0.8094715036150621, 'balanced_accuracy': 0.8859394894068733, 'accuracy': 0.8839742164925539, 'matthews_corrcoef': 0.5569802506149059}"
10,LogisticRegression,"{'C': 100, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'saga'}","{'roc_auc': 0.9611357170333348, 'F1': 0.565501240282647, 'F1_macro': 0.7498582318861654, 'precision': 0.4167914464518868, 'recall': 0.9033444413045911, 'average_precision': 0.8130467716105387, 'balanced_accuracy': 0.882791672105791, 'accuracy': 0.8857319256652467, 'matthews_corrcoef': 0.5563893652661309}","{'roc_auc': 0.9655950920637354, 'F1': 0.5755640698169434, 'F1_macro': 0.755922892580869, 'precision': 0.4254247954688483, 'recall': 0.8894736842105263, 'average_precision': 0.8284352047186573, 'balanced_accuracy': 0.8893229066840445, 'accuracy': 0.8891975994665481, 'matthews_corrcoef': 0.5678268137200689}"
