fold,model,params,inner_cv_metrics,outer_test_metrics
1,LogisticRegression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.962502649798702, 'F1': 0.8871639264784221, 'F1_macro': 0.8854966392093229, 'precision': 0.8871414759414286, 'recall': 0.9000891051908834, 'average_precision': 0.9640727005105152, 'balanced_accuracy': 0.8855221508148772, 'accuracy': 0.8855219807808229, 'matthews_corrcoef': 0.7713860954340994}","{'roc_auc': 0.9609501201699364, 'F1': 0.8828696925329429, 'F1_macro': 0.8834568295977916, 'precision': 0.8874172185430463, 'recall': 0.8783685360524399, 'average_precision': 0.9626317149453401, 'balanced_accuracy': 0.8834600966045858, 'accuracy': 0.8834597875569044, 'matthews_corrcoef': 0.76695959538189}"
2,LogisticRegression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.9622915328069844, 'F1': 0.8868457160686086, 'F1_macro': 0.8852148943872769, 'precision': 0.8867819522059485, 'recall': 0.8994685900722568, 'average_precision': 0.963851590991273, 'balanced_accuracy': 0.8852388223978199, 'accuracy': 0.8852387160422465, 'matthews_corrcoef': 0.7707987530192633}","{'roc_auc': 0.9628794074357547, 'F1': 0.8852578509384681, 'F1_macro': 0.8853413655735587, 'precision': 0.8859574468085106, 'recall': 0.8845593590677349, 'average_precision': 0.96464988599882, 'balanced_accuracy': 0.8853414738764679, 'accuracy': 0.8853414264036419, 'matthews_corrcoef': 0.7706838336438503}"
3,LogisticRegression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.9623133343295427, 'F1': 0.8868678523534268, 'F1_macro': 0.88522165568607, 'precision': 0.8868955237705928, 'recall': 0.8995899529232835, 'average_precision': 0.9639434111920308, 'balanced_accuracy': 0.8852455795861882, 'accuracy': 0.8852454616320868, 'matthews_corrcoef': 0.770810937440092}","{'roc_auc': 0.962625592048008, 'F1': 0.8852937598832259, 'F1_macro': 0.8855230611870697, 'precision': 0.8871282301316431, 'recall': 0.8834668608885652, 'average_precision': 0.9637381774027047, 'balanced_accuracy': 0.8855236453283424, 'accuracy': 0.8855235204855842, 'matthews_corrcoef': 0.7710536653369817}"
4,LogisticRegression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.9623774045174522, 'F1': 0.8868465932907185, 'F1_macro': 0.8851875351641816, 'precision': 0.8867734604000462, 'recall': 0.8996708472388016, 'average_precision': 0.9639422724127193, 'balanced_accuracy': 0.8852118514097553, 'accuracy': 0.8852117339103156, 'matthews_corrcoef': 0.7707489643470822}","{'roc_auc': 0.9619618890514183, 'F1': 0.8854432688799708, 'F1_macro': 0.8856445622150703, 'precision': 0.8870614035087719, 'recall': 0.8838310269482884, 'average_precision': 0.9636610517438239, 'balanced_accuracy': 0.8856450266464156, 'accuracy': 0.8856449165402125, 'matthews_corrcoef': 0.771294997769252}"
5,LogisticRegression,"{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}","{'roc_auc': 0.9619810896545635, 'F1': 0.8861108964359804, 'F1_macro': 0.8844942532550881, 'precision': 0.8863797301357984, 'recall': 0.8984987679775278, 'average_precision': 0.9636167948529499, 'balanced_accuracy': 0.8845169762895646, 'accuracy': 0.8845170891706367, 'matthews_corrcoef': 0.7693375667858456}","{'roc_auc': 0.9654866925902323, 'F1': 0.8903468805054371, 'F1_macro': 0.8904399815833026, 'precision': 0.8910505836575876, 'recall': 0.8896442879689207, 'average_precision': 0.9665942609456954, 'balanced_accuracy': 0.8904400123991241, 'accuracy': 0.8904400606980273, 'matthews_corrcoef': 0.7808810720129387}"
6,LogisticRegression,"{'C': 1, 'penalty': 'l2', 'solver': 'saga'}","{'roc_auc': 0.9625246048543232, 'F1': 0.8875968620680516, 'F1_macro': 0.8859777878099624, 'precision': 0.8875724918566308, 'recall': 0.9001983127442557, 'average_precision': 0.9641012342430122, 'balanced_accuracy': 0.8860007408709413, 'accuracy': 0.8860008248678286, 'matthews_corrcoef': 0.7723137254108822}","{'roc_auc': 0.9606818551515977, 'F1': 0.8786677240285488, 'F1_macro': 0.8792686328060845, 'precision': 0.883030897498774, 'recall': 0.8743474565982761, 'average_precision': 0.9622923383094548, 'balanced_accuracy': 0.8792713248031438, 'accuracy': 0.8792716236722307, 'matthews_corrcoef': 0.7585797766107599}"
7,LogisticRegression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.962429568707319, 'F1': 0.8872176079249726, 'F1_macro': 0.8855511789612477, 'precision': 0.886839504843636, 'recall': 0.9001308936887407, 'average_precision': 0.9639742366304092, 'balanced_accuracy': 0.8855758590002939, 'accuracy': 0.8855759525498927, 'matthews_corrcoef': 0.7714856854466527}","{'roc_auc': 0.9615362328502927, 'F1': 0.8826801980803326, 'F1_macro': 0.8835145099363273, 'precision': 0.8890394088669951, 'recall': 0.8764113147990773, 'average_precision': 0.9634277406765819, 'balanced_accuracy': 0.8835200540977663, 'accuracy': 0.8835204855842185, 'matthews_corrcoef': 0.7671181507310011}"
8,LogisticRegression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.9622197920309083, 'F1': 0.8868186148959627, 'F1_macro': 0.8851671701868682, 'precision': 0.8866771886655421, 'recall': 0.8995642650550622, 'average_precision': 0.9637986648527086, 'balanced_accuracy': 0.8851913556056982, 'accuracy': 0.8851914935019058, 'matthews_corrcoef': 0.7707089964809731}","{'roc_auc': 0.9634064247375551, 'F1': 0.8851302019956194, 'F1_macro': 0.8854014822500805, 'precision': 0.8871813635809245, 'recall': 0.8830885030957873, 'average_precision': 0.9650115052117418, 'balanced_accuracy': 0.8854019840072285, 'accuracy': 0.885402124430956, 'matthews_corrcoef': 0.7708123854230692}"
9,LogisticRegression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.9624847906350773, 'F1': 0.8873551613254351, 'F1_macro': 0.8857006895655873, 'precision': 0.8874363006982318, 'recall': 0.900211794372099, 'average_precision': 0.9640061073615172, 'balanced_accuracy': 0.8857250975275693, 'accuracy': 0.8857250860332778, 'matthews_corrcoef': 0.7717804236345887}","{'roc_auc': 0.960991401256532, 'F1': 0.8800779584627566, 'F1_macro': 0.8804769972602972, 'precision': 0.8830359325348326, 'recall': 0.8771397353405366, 'average_precision': 0.9630876561611843, 'balanced_accuracy': 0.8804783294888916, 'accuracy': 0.8804783294888916, 'matthews_corrcoef': 0.7609736231118371}"
10,LogisticRegression,"{'C': 100, 'penalty': 'l1', 'solver': 'liblinear'}","{'roc_auc': 0.9622950896968655, 'F1': 0.8870608126417359, 'F1_macro': 0.8854387185191779, 'precision': 0.8869091885199086, 'recall': 0.8996451848419417, 'average_precision': 0.9639113729567528, 'balanced_accuracy': 0.8854620434046921, 'accuracy': 0.885462046920126, 'matthews_corrcoef': 0.771239742149721}","{'roc_auc': 0.9628034324699316, 'F1': 0.8841797588600657, 'F1_macro': 0.8845441938436841, 'precision': 0.8869883934025656, 'recall': 0.8813888551657156, 'average_precision': 0.9640509240226645, 'balanced_accuracy': 0.8845453441787059, 'accuracy': 0.8845453441787059, 'matthews_corrcoef': 0.7691060143670481}"
