fold,model,params,inner_cv_metrics,outer_test_metrics
1,LogisticRegression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.9611252352995455, 'F1': 0.7270104839081384, 'F1_macro': 0.8528308242036715, 'precision': 0.9922039983511626, 'recall': 0.6244159250985055, 'average_precision': 0.8147950978990186, 'balanced_accuracy': 0.8078443616999721, 'accuracy': 0.960646569856969, 'matthews_corrcoef': 0.7178726837027728}","{'roc_auc': 0.961332678695791, 'F1': 0.7292307692307692, 'F1_macro': 0.8540752001621568, 'precision': 0.8794063079777366, 'recall': 0.6228646517739816, 'average_precision': 0.818968446868376, 'balanced_accuracy': 0.8074871935733224, 'accuracy': 0.9608845427269697, 'matthews_corrcoef': 0.7210754114678963}"
2,LogisticRegression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.9609528491669861, 'F1': 0.7298792811607585, 'F1_macro': 0.8543892910481328, 'precision': 0.9943321949590433, 'recall': 0.6264622799955213, 'average_precision': 0.8156551357045301, 'balanced_accuracy': 0.8089147398558414, 'accuracy': 0.9610663900161223, 'matthews_corrcoef': 0.7211786479971367}","{'roc_auc': 0.962915995519625, 'F1': 0.7095785440613027, 'F1_macro': 0.8434372082913595, 'precision': 0.8511029411764706, 'recall': 0.6084099868593955, 'average_precision': 0.8107489236513435, 'balanced_accuracy': 0.7992887516234342, 'accuracy': 0.9578842093565951, 'matthews_corrcoef': 0.6988232679860896}"
3,LogisticRegression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.9609801988834963, 'F1': 0.7249526095558273, 'F1_macro': 0.8517471926349209, 'precision': 0.9928445831433015, 'recall': 0.6226660197384206, 'average_precision': 0.814043068621326, 'balanced_accuracy': 0.8069087112199693, 'accuracy': 0.960770050276104, 'matthews_corrcoef': 0.7186808484745819}","{'roc_auc': 0.9626784820448427, 'F1': 0.7371647509578544, 'F1_macro': 0.8583086080314941, 'precision': 0.8841911764705882, 'recall': 0.6320630749014454, 'average_precision': 0.8234260111207103, 'balanced_accuracy': 0.8122077938236287, 'accuracy': 0.9618846538504279, 'matthews_corrcoef': 0.7289885422926544}"
4,LogisticRegression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.9613532504655152, 'F1': 0.7281015774988471, 'F1_macro': 0.8534091284732866, 'precision': 0.9928813689600517, 'recall': 0.6263133087713874, 'average_precision': 0.8157934837990453, 'balanced_accuracy': 0.8087863691233634, 'accuracy': 0.9609433845773909, 'matthews_corrcoef': 0.7200556683845551}","{'roc_auc': 0.9596083949909043, 'F1': 0.7221789883268482, 'F1_macro': 0.8504079071847873, 'precision': 0.8854961832061069, 'recall': 0.6097240473061761, 'average_precision': 0.8110973402607279, 'balanced_accuracy': 0.8012199209457918, 'accuracy': 0.9603245165592353, 'matthews_corrcoef': 0.7157818369576487}"
5,LogisticRegression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.961591886840458, 'F1': 0.7287996322337215, 'F1_macro': 0.8537955098972552, 'precision': 0.993479875987517, 'recall': 0.6270443021439274, 'average_precision': 0.816393414288432, 'balanced_accuracy': 0.8091586107171669, 'accuracy': 0.9608199049206643, 'matthews_corrcoef': 0.7198591444808928}","{'roc_auc': 0.957258496923516, 'F1': 0.719626168224299, 'F1_macro': 0.8490423804261753, 'precision': 0.8833652007648184, 'recall': 0.607095926412615, 'average_precision': 0.8044251773293244, 'balanced_accuracy': 0.7998451587872228, 'accuracy': 0.9599911091353635, 'matthews_corrcoef': 0.71315379958113}"
6,LogisticRegression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.9611716191510808, 'F1': 0.7296605363370061, 'F1_macro': 0.8542340628132312, 'precision': 0.9917305071832365, 'recall': 0.6273345667624618, 'average_precision': 0.8157809521541075, 'balanced_accuracy': 0.809411648356442, 'accuracy': 0.9609927764400815, 'matthews_corrcoef': 0.7204210351150697}","{'roc_auc': 0.9610273473575294, 'F1': 0.7166666666666667, 'F1_macro': 0.8471196130167107, 'precision': 0.8461538461538461, 'recall': 0.621550591327201, 'average_precision': 0.8089282222045461, 'balanced_accuracy': 0.805554948449809, 'accuracy': 0.9584352078239609, 'matthews_corrcoef': 0.7044412534174661}"
7,LogisticRegression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.9610786105326964, 'F1': 0.7266069658995755, 'F1_macro': 0.8526053259213745, 'precision': 0.9946135427241289, 'recall': 0.6239814878994204, 'average_precision': 0.8146416948578576, 'balanced_accuracy': 0.8076811560324945, 'accuracy': 0.9607952089893189, 'matthews_corrcoef': 0.7188547650255062}","{'roc_auc': 0.9624402375295472, 'F1': 0.735474006116208, 'F1_macro': 0.8573702724732526, 'precision': 0.8793418647166362, 'recall': 0.6320630749014454, 'average_precision': 0.821241632688254, 'balanced_accuracy': 0.8120252244726966, 'accuracy': 0.9615470104467659, 'matthews_corrcoef': 0.726689436813518}"
8,LogisticRegression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.9614975907123757, 'F1': 0.7268697793805876, 'F1_macro': 0.852771832337716, 'precision': 0.9932024870448581, 'recall': 0.6244181644655111, 'average_precision': 0.8154600320074918, 'balanced_accuracy': 0.807852279962806, 'accuracy': 0.9609186886460455, 'matthews_corrcoef': 0.7198172225255861}","{'roc_auc': 0.9588263718866046, 'F1': 0.7251732101616628, 'F1_macro': 0.8518960618694761, 'precision': 0.8754646840148699, 'recall': 0.6189224704336399, 'average_precision': 0.813396314453697, 'balanced_accuracy': 0.8053942205270057, 'accuracy': 0.9603245165592353, 'matthews_corrcoef': 0.7167890325077859}"
9,LogisticRegression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.9612795045912774, 'F1': 0.7272488730731632, 'F1_macro': 0.8529457840528736, 'precision': 0.9928751569961349, 'recall': 0.6258748193843874, 'average_precision': 0.8157610600632565, 'balanced_accuracy': 0.8084929349954534, 'accuracy': 0.9607458171266284, 'matthews_corrcoef': 0.718594090544485}","{'roc_auc': 0.9608655027146666, 'F1': 0.7236335642802155, 'F1_macro': 0.8510663479303695, 'precision': 0.8736059479553904, 'recall': 0.6176084099868594, 'average_precision': 0.8114648232336532, 'balanced_accuracy': 0.8046764885918272, 'accuracy': 0.9601022449433207, 'matthews_corrcoef': 0.7151044479778993}"
10,LogisticRegression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}","{'roc_auc': 0.9607078241375042, 'F1': 0.7266882624369746, 'F1_macro': 0.8526888420345067, 'precision': 0.9937223221697374, 'recall': 0.6237424088124424, 'average_precision': 0.8137855170235972, 'balanced_accuracy': 0.8075548147257543, 'accuracy': 0.9607334691609557, 'matthews_corrcoef': 0.7181596264392598}","{'roc_auc': 0.9648975862818007, 'F1': 0.7410782080485953, 'F1_macro': 0.860316668626492, 'precision': 0.8761220825852782, 'recall': 0.6421052631578947, 'average_precision': 0.8281741101324918, 'balanced_accuracy': 0.8168647218921301, 'accuracy': 0.9621026894865525, 'matthews_corrcoef': 0.7313024487195567}"
